# SOURCE: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
#
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
# 270:         5.752       53.224       1.20  LEEUWARDEN
# 344:         4.447       51.962      -4.30  ROTTERDAM
# 370:         5.377       51.451      22.60  EINDHOVEN
# 380:         5.762       50.906     114.30  MAASTRICHT
#
# YYYYMMDD = Date (YYYY=year MM=month DD=day);
# FXX      = Strongest wind gust (in 0.1 m/s);
# TG       = Average temperature (in 0.1 degrees Celsius);
# TN       = Minimum temperature (in 0.1 degrees Celsius);
# TNH      = Hour in which TN is measured;
# TX       = Maximum temperature (in 0.1 degrees Celsius);
# TXH      = Hour in which TX is measured;
# SQ       = Duration of Sunshine (in 0.1 hours);
# DR       = Duration of precipitation (in 0.1 hours);
#
# STN,YYYYMMDD,  FXX,   TG,   TN,  TNH,   TX,  TXH,   SQ,   DR
#
  260,20181118,  100,   29,  -14,    8,   78,   14,   70,    0
  260,20181119,  130,   49,   28,   23,   69,   12,    2,    1
  260,20181120,  160,   34,   26,   21,   44,    1,    0,    0
  260,20181121,  100,   34,   18,    7,   53,   13,    3,    5
  260,20181122,   80,   32,   17,   23,   43,   13,    2,    0
  260,20181123,   60,   32,   -8,    3,   69,   14,   20,    0
  260,20181124,   70,   24,    6,    3,   35,   13,    0,    0
  260,20181125,   90,   34,   19,    1,   47,   24,    0,    0
  260,20181126,   80,   49,   35,   24,   60,   14,    0,    0
  260,20181127,   80,   33,   14,   19,   52,   13,    0,    0
  260,20181128,  110,   61,   28,    1,   95,   24,    0,   54
  260,20181129,  120,  102,   95,    1,  112,   17,    0,  112
  260,20181130,  110,   96,   63,   24,  116,   13,   16,    0
  260,20181201,  120,   77,   57,    5,   96,   24,    6,   72
  260,20181202,  110,  120,   96,    1,  132,   12,    0,  112
  260,20181203,  130,  114,   74,   24,  133,   13,   13,   33
  260,20181204,   80,   48,    2,   21,   96,   14,   58,    4
  260,20181205,   90,   55,   17,    1,   84,   24,    0,   47
  260,20181206,  150,  111,   84,    1,  123,   17,    0,   60
  260,20181207,  170,  100,   71,   20,  118,   11,    0,  116
  260,20181208,  200,   91,   67,    3,  112,   22,    0,   80
  260,20181209,  160,   81,   55,   24,  100,    1,   18,   76
  260,20181210,  120,   55,   36,    7,   77,   13,   24,   24
  260,20181211,   90,   39,   -9,   24,   77,   12,   27,    2
  260,20181212,   70,    8,  -29,    5,   43,   12,    0,    0
  260,20181213,  110,    8,   -8,    5,   25,   15,   65,    0
  260,20181214,   70,    9,   -8,    3,   33,   14,   64,    0
  260,20181215,  150,    3,  -11,   24,    8,    1,    0,    7
  260,20181216,  120,   14,  -10,    1,   33,   21,    0,   27
  260,20181217,   80,   56,   24,    1,   84,   14,    0,   63
  260,20181218,  120,   64,   44,    1,   79,   13,   20,    0
  260,20181219,  100,   74,   55,    3,   98,   12,    6,    5
  260,20181220,  110,   75,   54,    1,   87,   20,    0,   20
  260,20181221,  190,   97,   74,    3,  123,   12,    0,  101
